"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","arrests_B_pct","arrests_W_pct","pct_arrests","pct_black_arrests","pct_white_arrests","SIR","SIR_B","SIR_W"
"143",11500,2017,26,46,72,37,129,8313,6312,1669,0.759292674,0.200769879,0.360610263522885,0.638002773925104,0.00866102897835946,0.0155772572044815,0.00728759050078421,0.253406481990652,0.455147294780196,0.213199112119474
"144",11500,2018,32,49,81,37,129,8000,6031,1668,0.753875,0.2085,0.394574599260173,0.604192355117139,0.010124873439082,0.0191835021881182,0.00812455439306262,0.296232057755005,0.560516537720488,0.237679608528464
"145",11603,2010,31,38,69,37,129,6377,4964,965,0.778422456,0.151325074,0.44862518089725,0.549927641099855,0.0108199651879381,0.0321210237281111,0.00765496263169557,0.316540493905271,0.937378638974567,0.223919397764537
"146",11603,2011,11,29,40,37,129,6827,5181,1054,0.758898491,0.154386993,0.27431421446384,0.723192019950125,0.00585900309062413,0.0104354425576321,0.0055972669896354,0.171411447779282,0.304609644072347,0.16373254710723
"147",11603,2012,16,9,27,37,129,6893,5237,1326,0.759756274,0.19236907,0.590405904059041,0.33210332103321,0.00391696043869957,0.0120654550938843,0.00171850833476542,0.114595351810573,0.352382878411236,0.0502704959551372
"148",11603,2013,18,72,90,37,129,6662,5086,1273,0.763434404,0.191083759,0.199778024417314,0.799112097669256,0.0135092538388796,0.0141387165187338,0.0141562297241501,0.395223724302598,0.412897849657099,0.414097084636562
"149",11603,2014,9,8,17,37,129,7203,5511,1422,0.765097876,0.197417743,0.526315789473684,0.467836257309941,0.00236009495911483,0.00632866886998101,0.00145161582987062,0.0690486125259855,0.184861226859154,0.0424643881827625
"150",11603,2015,6,11,17,37,129,7664,5772,1560,0.753131524,0.203549061,0.350877192982456,0.64327485380117,0.0022181338970003,0.00384590731363374,0.00190571888913913,0.0648968303157868,0.11235916134798,0.0557496419027199
"151",11603,2016,1,5,6,37,129,7499,5601,1517,0.746899587,0.202293639,0.163934426229508,0.819672131147541,0.000800096011521383,0.000659152330103487,0.00089268179464748,0.0234085390164288,0.0192563159878855,0.0261140018883244
"152",11603,2017,5,11,16,37,129,7708,5723,1627,0.74247535,0.211079398,0.31055900621118,0.683229813664596,0.00207573850884135,0.0030729518775736,0.00192203526061051,0.0607308393273187,0.0897837582770322,0.0562267231752427
"153",11603,2018,9,4,13,37,129,7781,5952,1493,0.764940239,0.191877651,0.687022900763359,0.305343511450382,0.00167071493747671,0.00602772754671489,0.000672031719897179,0.048881045934322,0.176087303603468,0.0196598158105517
"154",11605,2010,86,98,184,37,129,5228,4046,893,0.773909717,0.170811018,0.46713742531233,0.532319391634981,0.0351944300988887,0.0962938080842011,0.0242208546501569,1.02952064709844,2.80945316239394,0.708405673071967
"155",11605,2011,91,147,241,37,129,4916,3292,1312,0.669650122,0.266883645,0.377436748237246,0.609705516383243,0.0490225992148248,0.0693544699336941,0.044652349564108,1.43397824693077,2.02551606070496,1.3057722762802
"156",11605,2012,79,155,236,37,129,4981,3407,1209,0.683999197,0.242722345,0.334603981363829,0.656501482422702,0.047379092971432,0.065337854602597,0.0454932347157407,1.38591382899665,1.9078603270534,1.33040087435309
"157",11605,2013,94,164,260,37,129,5130,3493,1158,0.680896686,0.225730994,0.361399461745482,0.630526720492118,0.0506812732695269,0.0811674294102409,0.0469497008387965,1.48253227759936,2.36983926875742,1.37302168779702
"158",11605,2014,63,111,174,37,129,5060,3743,822,0.73972332,0.162450593,0.361860999425617,0.637564618035612,0.0343866722001541,0.0766330130154482,0.0296545643984932,1.00587376326276,2.23522377626778,0.867280480849563
"159",11605,2015,90,162,255,37,129,5044,3962,797,0.785487708,0.158009516,0.352802822422579,0.635045080360643,0.0505541127257588,0.11290929619872,0.0408874081926251,1.47879868281225,3.29297272790724,1.19584728185203
"160",11605,2016,88,115,207,37,129,5382,4139,881,0.769044965,0.163693794,0.424915499758571,0.55528730082086,0.0384608238419948,0.0998751560549313,0.0277838177381556,1.12508781692281,2.91381680219848,0.812627099495037
"161",11605,2017,121,133,257,37,129,5115,3904,926,0.763245357,0.181036168,0.470633994554648,0.517308440295605,0.0502433970010361,0.130655436777886,0.0340667503393868,1.46972111568259,3.8124113236051,0.996350737419578
"162",11605,2018,65,103,169,37,129,5603,4176,1346,0.74531501,0.240228449,0.384387936132466,0.609107037256062,0.0301618746765184,0.048287645791546,0.024664160340988,0.882338363794628,1.41033034188314,0.721387048526749
"163",11606,2010,11,15,26,37,129,4020,3335,470,0.82960199,0.116915423,0.421455938697318,0.574712643678161,0.0064675008084376,0.0233992767496277,0.00449761626338041,0.189159038432849,0.680760932072365,0.131525611674683
"164",11606,2011,8,24,33,37,129,4047,3341,549,0.82554979,0.135656042,0.241691842900302,0.725075528700906,0.00815398680536681,0.0145692952103442,0.00718326299721649,0.238485866456123,0.424232925001402,0.210063384928081
"165",11606,2012,7,28,35,37,129,4201,3559,463,0.847179243,0.110211854,0.199430199430199,0.797720797720798,0.00833115136511866,0.0151155258043619,0.00786715742743952,0.243673768082081,0.439719993242365,0.2300747299485
"166",11606,2013,8,14,22,37,129,4285,3582,600,0.835939323,0.140023337,0.361990950226244,0.633484162895928,0.00513406921658771,0.0133311114814198,0.00390832193406103,0.150165856723556,0.38834817333787,0.114299313815074
"167",11606,2014,4,18,23,37,129,4498,3843,509,0.854379724,0.113161405,0.173160173160173,0.779220779220779,0.00511327004735333,0.00785700255352583,0.00468371887278499,0.149562172974839,0.228690430074361,0.136983220094775
"168",11606,2015,13,33,46,37,129,4786,4016,629,0.839114083,0.13142499,0.281995661605206,0.715835140997831,0.00961116566724473,0.0206644412652996,0.00821692686935086,0.281135386233333,0.602105295878705,0.240325427660617
"169",11606,2016,2,13,15,37,129,4809,4084,595,0.849241006,0.123726346,0.132450331125828,0.860927152317881,0.00311908673140504,0.00336077970089061,0.00318307583066037,0.0912363972089671,0.0978989072635589,0.0930984334280647
"170",11606,2017,7,12,19,37,129,5044,4180,671,0.828707375,0.133029342,0.366492146596859,0.628272251308901,0.00376677702662517,0.0104306362688124,0.00287074471902586,0.110184999895815,0.30400531918458,0.0839647233804014
"171",11606,2018,9,11,20,37,129,5114,4278,628,0.83652718,0.122800156,0.447761194029851,0.54726368159204,0.00391075653585186,0.0143289285145677,0.002571234893995,0.114397536419504,0.417502810130334,0.0752057009576994
"172",11607,2010,0,3,3,37,129,10451,8353,882,0.79925366,0.084393838,0,0.967741935483871,0.00028705112380515,0,0.000359148100705127,0.00839919533024269,0,0.0105080591564011
"173",11607,2011,0,6,6,37,129,10451,8518,924,0.815041623,0.088412592,0,0.983606557377049,0.000574102247610299,0,0.000704382432702128,0.0167983906604854,0,0.020609160291072
"174",11607,2012,1,43,44,37,129,10824,9515,891,0.879065041,0.082317073,0.0226757369614512,0.975056689342404,0.00406500309494554,0.00112220850634048,0.00451913274689704,0.118944223992189,0.0327411489190734,0.13222755769514
"175",11607,2013,0,4,4,37,129,10985,9677,986,0.880928539,0.089758762,0,0.975609756097561,0.000364129593722406,0,0.000413346973783468,0.0106546727473114,0,0.0120943852796386
"176",11607,2014,0,3,3,37,129,10857,9319,1073,0.858340241,0.098830248,0,0.967741935483871,0.000276316880198211,0,0.000321919498664034,0.00808519014762233,0,0.00941914424191433
"177",11607,2015,0,6,6,37,129,10860,9222,1194,0.849171271,0.109944751,0,0.983606557377049,0.000552481100542352,0,0.000650611032194403,0.0161659145429025,0,0.0190363728717878
"178",11607,2016,0,1,1,37,129,11571,9543,1385,0.824734249,0.119695791,0,0.909090909090909,8.64222070503236e-05,0,0.000104787752407499,0.00252880388520606,0,0.00306603975306658
"179",11607,2017,2,5,7,37,129,11629,9349,1629,0.80393843,0.140080832,0.28169014084507,0.704225352112676,0.000601938241136459,0.00122767172058192,0.000534810837406809,0.0176133619938359,0.0358694896909737,0.0156482143591244
"180",11607,2018,0,2,2,37,129,12732,10186,1434,0.800031417,0.112629595,0,0.952380952380952,0.000157083277699672,0,0.000196346000922826,0.0045965228576479,0,0.00574509791401414
"181",11608,2010,1,0,1,37,129,5308,3934,1195,0.741145441,0.225131876,0.909090909090909,0,0.00018839132646333,0.000836750062756255,0,0.00551093850548643,0.0244323698579392,0
